Código	Provincia			Total	Municipios	Entidades colectivas	Entidades singulares	Núcleos	Diseminados
01	Araba/Álava				1.093	51	2		428		374		238
02	Albacete				1.036	87	0		316		403		230
03	Alicante/Alacant		1.408	141	0		289		709		269
04	Almería					1.994	103	49		671		597		574
05	Avila					1.316	248	0		459		452		157
06	Badajoz					975		165	0		287		265		258
07	Balears,  Illes 		965		67	0		317		392		189
08	Barcelona				3.759	311	0		1.316	1.255	877
09	Burgos					3.086	371	1		1.179	1.273	262
10	Cáceres					1.202	223	0		335		329		315
11	Cádiz					660		45	0		217		204		194
12	Castellón/Castelló		1.203	135	0		425		280		363
13	Ciudad Real				605		102	0		178		178		147
14	Córdoba					998		77	0		348		279		294
15	Coruña,  A 				22.232	93	926		10.577	4.091	6.545
16	Cuenca					1.116	238	0		336		343		199
17	Girona					2.892	221	11		1.077	726		857
18	Granada					1.525	174	0		485		458		408
19	Guadalajara				1.552	288	0		527		507		230
20	Gipuzkoa				845		88	0		301		182		274
21	Huelva					662		80	0		228		210		144
22	Huesca					2.148	202	0		789		658		499
23	Jaén					1.091	97	0		378		296		320
24	León					3.434	211	40		1.402	1.416	365
25	Lleida					2.798	231	0		1.024	718		825
26	Rioja,  La 				843		174	0		258		255		156
27	Lugo					21.126	67	1.264	9.819	1.337	8.639
28	Madrid					2.169	179	0		786		566		638
29	Málaga					942		103	0		244		365		230
30	Murcia					2.586	45	124		896		720		801
31	Navarra					2.614	272	33		950		666		693
32	Ourense					8.529	92	915		3.703	2.609	1.210
33	Asturias				15.448	78	857		6.955	3.161	4.397
34	Palencia				1.327	191	0		469		475		192
35	Palmas,  Las 			1.811	34	0		530		890		357
36	Pontevedra				13.656	61	666		6.248	2.370	4.311
37	Salamanca				2.628	362	0		988		560		718
38	Santa Cruz de Tenerife	1.770	54	0		578		786		352
39	Cantabria				2.241	102	2		930		991		216
40	Segovia					1.259	209	0		389		390		271
41	Sevilla					895		106	0		240		349		200
42	Soria					1.252	183	0		503		507		59
43	Tarragona				1.555	184	0		487		584		300
44	Teruel					1.140	236	0		357		327		220
45	Toledo					1.241	204	0		356		445		236
46	Valencia/València		1.915	266	0		476		791		382
47	Valladolid				962		225	0		272		330		135
48	Bizkaia					1.483	112	17		570		345		439
49	Zamora					1.564	248	0		514		520		282
50	Zaragoza				1.419	293	0		407		435		284
51	Ceuta					11		1	0		3		4		3
52	Melilla					3		1	0		1		1		0

